T,S,X0
1577,0,-2238
1578,0,-4322
1579,0,-6093
1580,0,-5572
1581,0,1829
1582,0,3758
1583,0,8932
1584,0,9022
1585,0,8824
1586,0,-1486
1587,0,-9608
1588,0,-10367
1589,0,-1639
1590,0,4909
1591,0,4809
1592,0,3914
1593,0,5724
1594,0,-1664
1595,0,-2017
1596,0,-1887
1597,0,-1432
1598,0,5067
1599,0,4771
1600,0,3724
1601,0,3453
1602,0,1223
1603,0,-6982
1604,0,-7322
1605,0,-6971
1606,0,962
1607,0,11946
1608,0,11129
1609,0,7607
1610,0,3653
1611,0,-8319
1612,0,-7179
1613,0,-5273
1614,0,-5432
1615,0,2603
1616,0,7099
1617,0,9773
1618,0,5820
1619,0,4183
1620,0,-3746
1621,0,-7841
1622,0,-7622
1623,0,-4303
1624,0,-200
1625,0,7682
1626,0,12215
1627,0,7058
1628,0,2866
1629,0,-828
1630,0,-9970
1631,0,-6471
1632,0,-743
1633,0,2711
1634,0,4125
1635,0,6562
1636,0,5998
1637,0,1768
1638,0,-2831
1639,0,-2800
1640,0,-3710
1641,0,-3270
1642,0,2750
1643,0,5370
1644,0,5092
1645,0,7461
1646,0,4277
1647,0,1914
1648,0,-4558
1649,0,-7603
1650,0,-5642
1651,0,-3700
1652,0,339
1653,0,3220
1654,0,11400
1655,0,9480
1656,0,6990
1657,0,-1476
1658,0,-11397
1659,0,-6203
1660,0,2049
1661,0,-3357
1662,0,-667
1663,0,9054
1664,0,12614
1665,0,6542
1666,0,-2155
1667,0,-9836
1668,0,-16304
1669,0,-5566
1670,0,3097
1671,0,12955
1672,0,10780
1673,0,-663
1674,0,306
1675,0,-1840
1676,0,3819
1677,0,3954
1678,0,-1612
1679,0,-1097
1680,0,3231
1681,0,-1670
1682,0,-9495
1683,0,-10121
1684,0,-2107
1685,0,8057
1686,0,17431
1687,0,12628
1688,0,-244
1689,0,-3121
1690,0,2306
1691,0,-5395
1692,0,-7891
1693,0,-3991
1694,0,1488
1695,0,1101
1696,0,2765
1697,0,6117
1698,0,8473
1699,0,-1259
1700,0,-3140
1701,0,-6164
1702,0,-3845
1703,0,4093
1704,0,10002
1705,0,4857
1706,0,-686
1707,0,-1671
1708,0,-2813
1709,0,1131
1710,0,-631
1711,0,-2929
1712,0,843
1713,0,4409
1714,0,2677
1715,0,5123
1716,0,1551
1717,0,-2582
1718,0,144
1719,0,683
1720,0,-393
1721,0,910
1722,0,-2086
1723,0,339
1724,0,1551
1725,0,4535
1726,0,1417
1727,0,5810
1728,0,2002
1729,0,-5842
1730,0,-6266
1731,0,767
1732,0,693
1733,0,2591
1734,0,-450
1735,0,6662
1736,0,4440
1737,0,330
1738,0,-4040
1739,0,-761
1740,0,1711
1741,0,3557
1742,0,822
1743,0,-2120
1744,0,-3722
1745,0,327
1746,0,6634
1747,0,5252
1748,0,-4990
1749,0,31
1750,0,2178
1751,0,-3226
1752,0,1687
1753,0,3234
1754,0,-3389
1755,0,-299
1756,0,6560
1757,0,5796
1758,0,-1289
1759,0,-5769
1760,0,-2121
1761,0,1435
1762,0,-1202
1763,0,3398
1764,0,5600
1765,0,4165
1766,0,2508
1767,0,1903
1768,0,1166
1769,0,-3919
1770,0,-8891
1771,0,-8856
1772,0,3714
1773,0,10816
1774,0,12749
1775,0,3071
1776,0,-6611
1777,0,-8230
1778,0,686
1779,0,5716
1780,0,6816
1781,0,-1013
1782,0,-1894
1783,0,1543
1784,0,-2038
1785,0,1238
1786,0,1996
1787,0,8962
1788,0,-850
1789,0,-3537
1790,0,-5038
1791,0,1590
1792,0,-300
1793,0,550
1794,0,7165
1795,0,7713
1796,0,6928
1797,0,-2757
1798,0,-1030
1799,0,-4689
1800,0,-5047
1801,0,-877
