Time,SAP_FLUX,PDCSAP_FLUX
288.15354007622227,1032198.4,1040216.25
288.1542212528293,1032207.56,1040225.44
288.1549022293111,1030902.94,1038907.75
288.1555833057937,1032156.4,1040173.7
288.15626448227704,1032365.5,1040384.94
288.1569455587596,1032664.3,1040686.94
288.15762663524947,1032485.6,1040506.7
288.15830771173205,1032411.1,1040431.75
288.1589888882154,1032483.44,1040505.25
288.1596699648144,1032344.94,1040365.75
288.1603509412962,1032214.4,1040234.5
288.1610321177868,1032568.25,1040592.5
288.1617131942694,1032569.8,1040594.6
288.162394270752,1032186.0,1040207.75
288.1630754472353,1032381.5,1040405.94
288.1637565238343,1032598.56,1040625.9
288.1644376003169,1032591.56,1040619.5
288.16511867680674,1032701.0,1040730.9
288.1657997532893,1032413.0,1040440.8
288.1664808297719,1032674.56,1040705.75
288.1671619062545,1032538.6,1040569.25
288.1678430827378,1032484.8,1040515.75
288.1685241592277,1032387.94,1040418.6
288.16920523571025,1032131.6,1040160.5
288.16988641231,1032329.75,1040361.3
288.1705674887926,1032312.0,1040344.06
288.1712484652744,1032351.75,1040384.94
288.17192954176426,1032507.9,1040543.2
288.1726107182476,1032403.4,1040438.25
288.1732917947302,1032296.56,1040330.9
288.1739729712135,1032401.6,1040437.44
288.1746540478125,1032449.44,1040486.1
288.1753351242951,1032670.8,1040709.94
288.1760163007857,1032469.2,1040506.56
288.1766972772675,1032555.25,1040593.6
288.1773783537501,1032699.8,1040739.75
288.17805953023344,1032609.5,1040648.44
288.178740606716,1032161.06,1040195.4
288.1794216832059,1032518.94,1040556.6
288.1801028596892,1032624.75,1040663.2
288.1807839361718,1032623.0,1040661.0
288.18146511277155,1032387.44,1040422.6
288.18214608925337,1032624.3,1040661.3
288.1828271657432,1032846.7,1040885.3
288.1835082422258,1032552.7,1040587.75
288.18418941870914,1032642.6,1040677.9
288.1848704951917,1032698.7,1040733.8
288.1855515716743,1032644.7,1040678.4
288.18623274815764,1032333.1,1040362.9
288.1869138246475,1032591.75,1040623.2
288.1875948012457,1032505.25,1040535.0
288.18827597772906,1032357.8,1040385.1
288.18895705421164,1032695.3,1040724.94
288.1896381306942,1032790.3,1040819.9
288.1903192071841,1032744.75,1040772.9
288.1910003836674,1032524.56,1040549.4
288.19168146015,1032471.6,1040494.9
288.1923625366326,1032366.94,1040388.1
288.19304361311515,1032361.7,1040381.8
288.193724689605,1032659.75,1040681.75
288.1944057660876,1032650.06,1040671.0
288.1950869425709,1032401.25,1040418.6
288.1957680191699,1032389.2,1040405.5
288.1964490956525,1032306.1,1040320.56
288.19713027213584,1032492.0,1040507.3
288.1978113486257,1032659.0,1040675.06
288.19849242510827,1032977.9,1040996.1
288.1991734015901,1032548.6,1040561.8
288.1998545780734,1032840.2,1040855.3
288.2005356545633,1032561.3,1040572.94
288.20121673104586,1032702.6,1040714.8
288.2018979075292,1032481.44,1040490.7
288.2025789840118,1032819.25,1040831.2
288.2032601604951,1032637.56,1040647.06
288.2039412370941,1032408.4,1040414.94
288.2046222135832,1032451.4,1040457.75
288.2053032900658,1032628.9,1040636.44
288.2059844665491,1032784.25,1040792.9
288.2066655430317,1032338.06,1040341.75
288.20734671951504,1032448.5,1040452.8
288.2080277960049,1032401.3,1040404.8
288.2087088724875,1032702.5,1040708.56
288.2093900489708,1032712.9,1040718.75
288.21007102545263,1032593.1,1040597.6
288.2107521019352,1032542.2,1040545.94
288.21143327841855,1032652.0,1040656.56
288.2121143549084,1032561.25,1040564.8
288.212795431391,1032764.1,1040769.6
288.2134766078743,1032419.75,1040421.8
288.2141576843569,1032525.56,1040528.6
288.2148387608395,1032839.56,1040845.8
288.21551983732934,1032557.0,1040560.6
288.21620091392833,1032537.56,1040541.06
288.2168819904109,1032489.1,1040492.3
288.2175630668935,1032744.75,1040750.8
288.21824424337683,1032674.25,1040679.94
288.2189253198667,1032705.94,1040712.25
288.21960639634926,1032514.25,1040519.06
288.2202875728326,1032543.7,1040549.2
288.2209685493144,1032536.4,1040542.3
288.221649625797,1032526.4,1040532.75
288.22233080228034,1032640.4,1040648.44
288.2230118787702,1032586.5,1040594.6
